序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
0674,0600-0699,0674. 最长连续递增序列,最长连续递增序列,https://leetcode.com/problems/longest-continuous-increasing-subsequence/,longest-continuous-increasing-subsequence,数组,https://2xiao.github.io/fe/leetcode/problem/0674,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0674.md,55.6%,简单,1298
0675,0600-0699,0675. 为高尔夫比赛砍树,为高尔夫比赛砍树,https://leetcode.com/problems/cut-off-trees-for-golf-event/,cut-off-trees-for-golf-event,广度优先搜索、数组、矩阵、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0675,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0675.md,52.5%,困难,219
0676,0600-0699,0676. 实现一个魔法字典,实现一个魔法字典,https://leetcode.com/problems/implement-magic-dictionary/,implement-magic-dictionary,设计、字典树、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0676,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0676.md,65.3%,中等,471
0677,0600-0699,0677. 键值映射,键值映射,https://leetcode.com/problems/map-sum-pairs/,map-sum-pairs,设计、字典树、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0677,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0677.md,65.7%,中等,705
0678,0600-0699,0678. 有效的括号字符串,有效的括号字符串,https://leetcode.com/problems/valid-parenthesis-string/,valid-parenthesis-string,栈、贪心、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0678,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0678.md,39.3%,中等,671
0679,0600-0699,0679. 24 点游戏,24 点游戏,https://leetcode.com/problems/24-game/,24-game,数组、数学、回溯,https://2xiao.github.io/fe/leetcode/problem/0679,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0679.md,53.8%,困难,362
0680,0600-0699,0680. 验证回文串 II,验证回文串 II,https://leetcode.com/problems/valid-palindrome-ii/,valid-palindrome-ii,贪心、双指针、字符串,https://2xiao.github.io/fe/leetcode/problem/0680,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0680.md,40.0%,简单,1190
0681,0600-0699,0681. 最近时刻,最近时刻,https://leetcode.com/problems/next-closest-time/,next-closest-time,字符串、枚举,https://2xiao.github.io/fe/leetcode/problem/0681,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0681.md,49.9%,中等,92
0682,0600-0699,0682. 棒球比赛,棒球比赛,https://leetcode.com/problems/baseball-game/,baseball-game,栈、数组、模拟,https://2xiao.github.io/fe/leetcode/problem/0682,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0682.md,71.3%,简单,991
0683,0600-0699,0683. K 个关闭的灯泡,K 个关闭的灯泡,https://leetcode.com/problems/k-empty-slots/,k-empty-slots,树状数组、数组、有序集合、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/0683,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0683.md,45.9%,困难,78
0684,0600-0699,0684. 冗余连接,冗余连接,https://leetcode.com/problems/redundant-connection/,redundant-connection,深度优先搜索、广度优先搜索、并查集、图,https://2xiao.github.io/fe/leetcode/problem/0684,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0684.md,67.4%,中等,939
0685,0600-0699,0685. 冗余连接 II,冗余连接 II,https://leetcode.com/problems/redundant-connection-ii/,redundant-connection-ii,深度优先搜索、广度优先搜索、并查集、图,https://2xiao.github.io/fe/leetcode/problem/0685,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0685.md,42.2%,困难,356
0686,0600-0699,0686. 重复叠加字符串匹配,重复叠加字符串匹配,https://leetcode.com/problems/repeated-string-match/,repeated-string-match,字符串、字符串匹配,https://2xiao.github.io/fe/leetcode/problem/0686,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0686.md,39.8%,中等,642
0687,0600-0699,0687. 最长同值路径,最长同值路径,https://leetcode.com/problems/longest-univalue-path/,longest-univalue-path,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0687,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0687.md,47.7%,中等,671
0688,0600-0699,0688. 骑士在棋盘上的概率,骑士在棋盘上的概率,https://leetcode.com/problems/knight-probability-in-chessboard/,knight-probability-in-chessboard,动态规划,https://2xiao.github.io/fe/leetcode/problem/0688,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0688.md,58.1%,中等,391
0689,0600-0699,0689. 三个无重叠子数组的最大和,三个无重叠子数组的最大和,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/,maximum-sum-of-3-non-overlapping-subarrays,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0689,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0689.md,56.2%,困难,293
0690,0600-0699,0690. 员工的重要性,员工的重要性,https://leetcode.com/problems/employee-importance/,employee-importance,深度优先搜索、广度优先搜索、哈希表,https://2xiao.github.io/fe/leetcode/problem/0690,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0690.md,65.7%,中等,668
0691,0600-0699,0691. 贴纸拼词,贴纸拼词,https://leetcode.com/problems/stickers-to-spell-word/,stickers-to-spell-word,位运算、数组、字符串、动态规划、回溯、状态压缩,https://2xiao.github.io/fe/leetcode/problem/0691,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0691.md,58.9%,困难,207
0692,0600-0699,0692. 前K个高频单词,前K个高频单词,https://leetcode.com/problems/top-k-frequent-words/,top-k-frequent-words,字典树、哈希表、字符串、桶排序、计数、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0692,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0692.md,56.2%,中等,1066
0693,0600-0699,0693. 交替位二进制数,交替位二进制数,https://leetcode.com/problems/binary-number-with-alternating-bits/,binary-number-with-alternating-bits,位运算,https://2xiao.github.io/fe/leetcode/problem/0693,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0693.md,65.1%,简单,840
0694,0600-0699,0694. 不同岛屿的数量,不同岛屿的数量,https://leetcode.com/problems/number-of-distinct-islands/,number-of-distinct-islands,深度优先搜索、广度优先搜索、并查集、哈希表、哈希函数,https://2xiao.github.io/fe/leetcode/problem/0694,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0694.md,57.6%,中等,173
0695,0600-0699,0695. 岛屿的最大面积,岛屿的最大面积,https://leetcode.com/problems/max-area-of-island/,max-area-of-island,深度优先搜索、广度优先搜索、并查集、数组、矩阵,https://2xiao.github.io/fe/leetcode/problem/0695,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0695.md,68.0%,中等,2524
0696,0600-0699,0696. 计数二进制子串,计数二进制子串,https://leetcode.com/problems/count-binary-substrings/,count-binary-substrings,双指针、字符串,https://2xiao.github.io/fe/leetcode/problem/0696,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0696.md,63.7%,简单,630
0697,0600-0699,0697. 数组的度,数组的度,https://leetcode.com/problems/degree-of-an-array/,degree-of-an-array,数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/0697,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0697.md,59.3%,简单,1136
0698,0600-0699,0698. 划分为k个相等的子集,划分为k个相等的子集,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,partition-to-k-equal-sum-subsets,位运算、记忆化搜索、数组、动态规划、回溯、状态压缩,https://2xiao.github.io/fe/leetcode/problem/0698,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0698.md,42.1%,中等,1398
0699,0600-0699,0699. 掉落的方块,掉落的方块,https://leetcode.com/problems/falling-squares/,falling-squares,线段树、数组、有序集合,https://2xiao.github.io/fe/leetcode/problem/0699,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0699.md,54.8%,困难,240
0700,0700-0799,0700. 二叉搜索树中的搜索,二叉搜索树中的搜索,https://leetcode.com/problems/search-in-a-binary-search-tree/,search-in-a-binary-search-tree,树、二叉搜索树、二叉树,https://2xiao.github.io/fe/leetcode/problem/0700,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0700.md,77.6%,简单,1861
0701,0700-0799,0701. 二叉搜索树中的插入操作,二叉搜索树中的插入操作,https://leetcode.com/problems/insert-into-a-binary-search-tree/,insert-into-a-binary-search-tree,树、二叉搜索树、二叉树,https://2xiao.github.io/fe/leetcode/problem/0701,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0701.md,70.8%,中等,1364
0702,0700-0799,0702. 搜索长度未知的有序数组,搜索长度未知的有序数组,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/,search-in-a-sorted-array-of-unknown-size,数组、二分查找、交互,https://2xiao.github.io/fe/leetcode/problem/0702,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0702.md,74.8%,中等,121
0703,0700-0799,0703. 数据流中的第 K 大元素,数据流中的第 K 大元素,https://leetcode.com/problems/kth-largest-element-in-a-stream/,kth-largest-element-in-a-stream,树、设计、二叉搜索树、二叉树、数据流、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0703,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0703.md,52.5%,简单,805
0704,0700-0799,0704. 二分查找,二分查找,https://leetcode.com/problems/binary-search/,binary-search,数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/0704,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0704.md,54.5%,简单,4941
0705,0700-0799,0705. 设计哈希集合,设计哈希集合,https://leetcode.com/problems/design-hashset/,design-hashset,设计、数组、哈希表、链表、哈希函数,https://2xiao.github.io/fe/leetcode/problem/0705,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0705.md,63.3%,简单,620
0706,0700-0799,0706. 设计哈希映射,设计哈希映射,https://leetcode.com/problems/design-hashmap/,design-hashmap,设计、数组、哈希表、链表、哈希函数,https://2xiao.github.io/fe/leetcode/problem/0706,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0706.md,63.6%,简单,600
0707,0700-0799,0707. 设计链表,设计链表,https://leetcode.com/problems/design-linked-list/,design-linked-list,设计、链表,https://2xiao.github.io/fe/leetcode/problem/0707,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0707.md,34.7%,中等,1405
0708,0700-0799,0708. 循环有序列表的插入,循环有序列表的插入,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/,insert-into-a-sorted-circular-linked-list,链表,https://2xiao.github.io/fe/leetcode/problem/0708,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0708.md,37.7%,中等,98
0709,0700-0799,0709. 转换成小写字母,转换成小写字母,https://leetcode.com/problems/to-lower-case/,to-lower-case,字符串,https://2xiao.github.io/fe/leetcode/problem/0709,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0709.md,76.8%,简单,916
0710,0700-0799,0710. 黑名单中的随机数,黑名单中的随机数,https://leetcode.com/problems/random-pick-with-blacklist/,random-pick-with-blacklist,数组、哈希表、数学、二分查找、排序、随机化,https://2xiao.github.io/fe/leetcode/problem/0710,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0710.md,43.7%,困难,436
0711,0700-0799,0711. 不同岛屿的数量 II,不同岛屿的数量 II,https://leetcode.com/problems/number-of-distinct-islands-ii/,number-of-distinct-islands-ii,深度优先搜索、广度优先搜索、并查集、哈希表、哈希函数,https://2xiao.github.io/fe/leetcode/problem/0711,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0711.md,56.0%,困难,47
0712,0700-0799,0712. 两个字符串的最小ASCII删除和,两个字符串的最小ASCII删除和,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/,minimum-ascii-delete-sum-for-two-strings,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0712,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0712.md,68.9%,中等,334
0713,0700-0799,0713. 乘积小于 K 的子数组,乘积小于 K 的子数组,https://leetcode.com/problems/subarray-product-less-than-k/,subarray-product-less-than-k,数组、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/0713,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0713.md,49.6%,中等,899
0714,0700-0799,0714. 买卖股票的最佳时机含手续费,买卖股票的最佳时机含手续费,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,best-time-to-buy-and-sell-stock-with-transaction-fee,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/0714,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0714.md,75.2%,中等,1269
0715,0700-0799,0715. Range 模块,Range 模块,https://leetcode.com/problems/range-module/,range-module,设计、线段树、有序集合,https://2xiao.github.io/fe/leetcode/problem/0715,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0715.md,52.9%,困难,207
0716,0700-0799,0716. 最大栈,最大栈,https://leetcode.com/problems/max-stack/,max-stack,栈、设计、链表、双向链表、有序集合,https://2xiao.github.io/fe/leetcode/problem/0716,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0716.md,44.3%,困难,109
0717,0700-0799,0717. 1 比特与 2 比特字符,1 比特与 2 比特字符,https://leetcode.com/problems/1-bit-and-2-bit-characters/,1-bit-and-2-bit-characters,数组,https://2xiao.github.io/fe/leetcode/problem/0717,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0717.md,55.3%,简单,827
0718,0700-0799,0718. 最长重复子数组,最长重复子数组,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,maximum-length-of-repeated-subarray,数组、二分查找、动态规划、滑动窗口、哈希函数、滚动哈希,https://2xiao.github.io/fe/leetcode/problem/0718,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0718.md,56.9%,中等,1059
0719,0700-0799,0719. 找出第 K 小的数对距离,找出第 K 小的数对距离,https://leetcode.com/problems/find-k-th-smallest-pair-distance/,find-k-th-smallest-pair-distance,数组、双指针、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/0719,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0719.md,46.7%,困难,273
0720,0700-0799,0720. 词典中最长的单词,词典中最长的单词,https://leetcode.com/problems/longest-word-in-dictionary/,longest-word-in-dictionary,字典树、数组、哈希表、字符串、排序,https://2xiao.github.io/fe/leetcode/problem/0720,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0720.md,51.9%,中等,711
0721,0700-0799,0721. 账户合并,账户合并,https://leetcode.com/problems/accounts-merge/,accounts-merge,深度优先搜索、广度优先搜索、并查集、数组、字符串,https://2xiao.github.io/fe/leetcode/problem/0721,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0721.md,48.2%,中等,441
0722,0700-0799,0722. 删除注释,删除注释,https://leetcode.com/problems/remove-comments/,remove-comments,数组、字符串,https://2xiao.github.io/fe/leetcode/problem/0722,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0722.md,34.2%,中等,104
0723,0700-0799,0723. 粉碎糖果,粉碎糖果,https://leetcode.com/problems/candy-crush/,candy-crush,数组、双指针、矩阵、模拟,https://2xiao.github.io/fe/leetcode/problem/0723,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0723.md,73.9%,中等,61
